sample_no,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0,0.056152344,-0.97540283,0.13446045,1.609375,2.40625,-0.171875
1,0.049804688,-0.9751587,0.13031006,0.21875,1.296875,0.546875
2,0.052978516,-0.9717407,0.13421631,-0.25,0.90625,-0.359375
3,0.060791016,-0.9939575,0.12835693,-0.109375,2.375,-0.34375
4,0.056396484,-0.9807739,0.12884521,1.28125,1.734375,-1.046875
5,0.064697266,-0.98565674,0.1281128,-0.640625,2.40625,-0.75
6,0.063964844,-0.97198486,0.12420654,-0.796875,0.546875,-1.65625
7,0.046875,-1.0022583,0.13006592,-1.125,0.828125,-1.328125
8,0.033691406,-0.98150635,0.12835693,-5.953125,-0.03125,-3.25
9,0.060058594,-0.98272705,0.15252686,-1.1875,3.234375,-3.359375
10,0.07861328,-0.9924927,0.13812256,2.71875,5.40625,-0.421875
11,0.064697266,-0.9492798,0.12664795,3.546875,2.265625,-0.875
12,0.03100586,-0.9595337,0.13079834,1.609375,1.40625,-1.390625
13,0.022460938,-1.0100708,0.15472412,3.78125,2.578125,0.21875
14,0.045410156,-1.0029907,0.13372803,0.5625,1.796875,1.171875
15,0.07714844,-0.95758057,0.1161499,1.828125,1.984375,0.875
16,0.072021484,-0.97247314,0.12200928,0.859375,1.421875,0.921875
17,0.06933594,-0.97540283,0.11517334,-0.625,0.484375,0.0
18,0.068115234,-0.989563,0.12591553,0.3125,-0.09375,-0.84375
19,0.05102539,-0.99664307,0.12567139,0.328125,0.875,-0.59375
20,0.05126953,-0.98638916,0.10809326,0.375,1.390625,-0.03125
21,0.056640625,-0.9644165,0.11932373,-0.1875,2.203125,-1.359375
22,0.04296875,-0.99224854,0.11541748,0.234375,3.578125,-0.671875
23,0.048095703,-0.9824829,0.13250732,-1.296875,2.421875,-0.59375
24,0.041015625,-0.99102783,0.12030029,-0.40625,3.84375,-1.0625
25,0.06323242,-0.96466064,0.11785889,-1.28125,4.921875,-0.15625
26,0.080566406,-0.9807739,0.11810303,-0.0625,4.6875,-0.5625
27,0.06323242,-0.9717407,0.12884521,-0.390625,-0.203125,-0.40625
28,0.04345703,-0.97906494,0.10760498,-1.109375,0.84375,-0.703125
29,0.07910156,-1.0046997,0.124938965,2.375,2.046875,-0.0625
30,0.072021484,-0.9795532,0.12762451,2.0625,2.359375,0.4375
31,0.042236328,-0.9883423,0.12835693,0.046875,2.234375,-0.28125
32,0.044189453,-0.972229,0.13519287,0.1875,3.484375,-1.125
33,0.064697266,-0.98394775,0.11810303,-1.3125,2.6875,-1.375
34,0.076416016,-0.97052,0.1239624,-0.828125,0.625,-0.375
35,0.060058594,-0.9920044,0.121276855,0.390625,0.359375,0.171875
36,0.060058594,-0.99176025,0.12225342,0.0,1.921875,-0.40625
37,0.0625,-0.98101807,0.12030029,-2.921875,1.921875,-1.171875
38,0.05078125,-0.9800415,0.13494873,-0.734375,1.625,-1.59375
39,0.061279297,-0.99176025,0.12322998,-1.546875,3.5,-0.59375
40,0.0625,-0.9624634,0.13250732,-1.5625,0.984375,-1.5
41,0.041992188,-1.0020142,0.13665771,-0.9375,1.21875,-1.09375
42,0.052001953,-0.986145,0.13494873,-1.984375,0.28125,-0.40625
43,0.05126953,-0.98931885,0.1630249,1.515625,2.734375,0.21875
44,0.07519531,-0.98516846,0.137146,1.453125,0.890625,3.21875
45,0.056396484,-0.9451294,0.11981201,-0.484375,-2.34375,-1.328125
46,0.056884766,-0.97442627,0.13397217,0.5625,-1.34375,-2.890625
47,0.050048828,-1.0181274,0.13446045,2.75,-0.1875,0.96875
48,0.032958984,-0.9920044,0.13372803,-0.0625,1.265625,-0.8125
49,0.05419922,-0.9714966,0.12640381,1.421875,3.46875,-2.09375
50,0.07055664,-0.95880127,0.12713623,-1.140625,0.328125,-1.03125
51,0.047607422,-1.0073853,0.13397217,-1.984375,-1.46875,-1.34375
52,0.036621094,-0.9734497,0.13763428,-3.09375,-2.078125,-0.953125
53,0.052490234,-0.99005127,0.14056396,-1.796875,1.640625,-1.0
54,0.08081055,-0.9939575,0.13543701,-4.46875,2.359375,-1.75
55,0.07006836,-1.0032349,0.1671753,-0.328125,4.171875,-1.859375
56,0.0146484375,-0.97491455,0.14031982,-2.125,2.171875,0.21875
57,0.024169922,-0.9741821,0.16790771,1.359375,3.28125,2.609375
58,0.036865234,-0.9578247,0.17132568,-2.59375,-3.640625,-0.21875
59,0.09814453,-0.9800415,0.1515503,-2.515625,1.46875,-5.234375
60,0.061523438,-0.991272,0.15350342,1.125,0.84375,0.25
61,0.040039062,-0.9883423,0.14715576,-1.28125,0.6875,-0.40625
62,0.07421875,-0.9661255,0.15252686,4.09375,1.0,-2.375
63,0.056640625,-0.9841919,0.15740967,2.296875,3.703125,0.6875
64,0.034423828,-0.9458618,0.1359253,1.0625,1.421875,0.8125
65,0.046142578,-0.93536377,0.14422607,-1.5,1.03125,-0.265625
66,0.046142578,-0.9763794,0.14764404,-3.21875,-1.046875,-2.109375
67,0.05517578,-1.0232544,0.1630249,1.125,0.703125,-0.21875
68,0.060058594,-0.97491455,0.1395874,-0.71875,3.359375,0.65625
69,0.040039062,-0.9776001,0.15911865,0.6875,3.640625,-0.453125
70,0.04272461,-0.98443604,0.1593628,0.828125,0.96875,-0.53125
71,0.07446289,-0.9771118,0.14935303,-2.078125,1.71875,-0.96875
72,0.055419922,-0.98321533,0.14178467,0.8125,1.4375,-0.46875
73,0.048583984,-0.973938,0.1395874,-0.21875,0.46875,-0.734375
74,0.06933594,-0.98516846,0.14105225,-0.21875,1.234375,-1.140625
75,0.056396484,-0.9819946,0.15057373,1.375,0.203125,0.171875
76,0.045898438,-0.9690552,0.15789795,0.40625,1.109375,0.375
77,0.036376953,-1.0025024,0.15228271,0.8125,2.40625,-0.203125
78,0.045410156,-0.9859009,0.13983154,0.296875,1.078125,-0.0625
79,0.060058594,-0.95684814,0.12957764,1.03125,-0.1875,-1.171875
80,0.06518555,-0.9866333,0.15203857,1.46875,1.65625,-0.5625
81,0.037353516,-0.9956665,0.16082764,-0.765625,1.3125,-0.015625
82,0.04736328,-0.9834595,0.15179443,0.734375,1.734375,0.140625
83,0.049804688,-0.960022,0.13494873,0.84375,1.34375,-1.515625
84,0.05444336,-0.96832275,0.15179443,0.515625,1.6875,-0.796875
85,0.057617188,-0.9780884,0.14178467,0.4375,-0.828125,-0.921875
86,0.06665039,-0.97491455,0.12957764,0.34375,0.953125,-0.609375
87,0.053222656,-0.97906494,0.1539917,2.421875,1.578125,-0.421875
88,0.04711914,-0.989563,0.13543701,1.8125,1.171875,0.515625
89,0.039794922,-0.98101807,0.1605835,2.21875,2.625,0.421875
90,0.03930664,-0.9812622,0.14471436,-0.140625,2.015625,-0.59375
91,0.04345703,-0.9656372,0.13885498,-0.4375,0.65625,-1.1875
92,0.05517578,-0.98883057,0.13348389,-0.84375,1.78125,-0.59375
93,0.059570312,-0.9819946,0.14324951,0.609375,1.59375,-0.65625
94,0.0546875,-0.9898071,0.1383667,0.421875,0.890625,0.328125
95,0.052490234,-0.97320557,0.14007568,-2.453125,1.890625,-0.9375
96,0.0546875,-0.99664307,0.14520264,1.3125,2.953125,0.65625
97,0.07543945,-0.9727173,0.14324951,1.125,1.875,0.15625
98,0.05834961,-0.9741821,0.12762451,0.765625,1.65625,0.203125
99,0.052490234,-0.9807739,0.13543701,0.71875,1.078125,0.65625
100,0.049072266,-0.97979736,0.14031982,-0.65625,0.34375,-0.734375
101,0.061767578,-0.9776001,0.13763428,-0.125,1.28125,-0.640625
102,0.064941406,-0.9768677,0.12591553,-0.34375,0.734375,-0.8125
103,0.06665039,-0.97784424,0.13275146,0.453125,0.25,-0.5
104,0.055664062,-0.97052,0.14837646,1.765625,1.546875,-0.21875
105,0.036865234,-0.986145,0.1383667,0.875,-0.1875,1.9375
106,0.06591797,-0.9944458,0.12860107,1.40625,-0.203125,1.46875
107,0.07763672,-0.98150635,0.1395874,0.515625,1.953125,-0.125
108,0.05810547,-0.96539307,0.13690186,0.171875,2.421875,-0.578125
109,0.072021484,-0.99005127,0.13909912,-0.875,1.421875,-0.71875
110,0.0871582,-0.96881104,0.11053467,-3.640625,0.875,-1.859375
111,0.052246094,-1.0049438,0.1564331,3.171875,4.09375,0.421875
112,0.046142578,-0.97003174,0.1281128,0.3125,2.921875,-0.640625
113,0.0637207,-0.95635986,0.13031006,-0.484375,1.421875,-1.390625
114,0.06518555,-0.98272705,0.1359253,-0.890625,1.390625,-2.0
115,0.06201172,-0.99346924,0.13372803,-0.21875,1.8125,-1.015625
116,0.057128906,-0.98394775,0.14251709,1.0,2.59375,0.515625
117,0.05126953,-0.97735596,0.13372803,-0.515625,2.0,-0.890625
118,0.060058594,-0.9668579,0.14007568,-1.046875,1.359375,-0.671875
119,0.064208984,-0.9846802,0.13201904,-0.390625,2.015625,-0.953125
120,0.07495117,-0.9763794,0.13568115,-0.484375,1.609375,-0.734375
121,0.06567383,-0.9873657,0.13250732,0.5,1.625,0.015625
122,0.056396484,-0.98101807,0.14056396,0.25,0.859375,-0.421875
123,0.060302734,-0.9734497,0.13323975,0.234375,1.359375,-0.609375
124,0.06640625,-0.98565674,0.12860107,-0.34375,1.515625,-0.546875
125,0.052734375,-0.98443604,0.14593506,-0.109375,1.71875,-0.546875
126,0.0703125,-0.98272705,0.12762451,-2.453125,1.09375,-0.8125
127,0.05517578,-0.97735596,0.15057373,-0.390625,1.140625,-0.59375
128,0.06201172,-0.98272705,0.14202881,0.6875,0.984375,0.046875
129,0.06762695,-0.97198486,0.13543701,0.09375,0.78125,-0.96875
130,0.068603516,-0.97491455,0.1564331,1.625,0.859375,-0.578125
131,0.049316406,-0.99420166,0.13470459,-1.921875,0.609375,-0.78125
132,0.053466797,-0.9768677,0.13519287,-1.453125,1.984375,-1.546875
